metric,value
graph_d1_us,1.67
graph_d10_us,8.78
graph_d10_speedup_vs_rdma,2.847380410022779
pt_walk_tiara_us,3.75
pt_walk_speedup_vs_rdma,2.6666666666666665
lock_1_us,4.34
lock_16_us,9.97
paged_8kb_tiara_gbps,12.1
paged_8kb_speedup_vs_rdma,2.781609195402299
1-MP core (post-route).LUT,27286
1-MP core (post-route).FF,84733
1-MP core (post-route).BRAM36,2
1-MP core (post-route).WNS_ns,0.184
Tiara + Corundum app (post-route).LUT,28235
Tiara + Corundum app (post-route).FF,86400
Tiara + Corundum app (post-route).BRAM36,2
Tiara + Corundum app (post-route).WNS_ns,0.077
8-MP core (post-synth).LUT,224465
8-MP core (post-synth).FF,676765
8-MP core (post-synth).BRAM36,16
8-MP core (post-synth).WNS_ns,1.187
